Drug1,Drug2,VITAMINS,SYMPTOMS,vitamin_labels,combined_text,vitamin_inferred,inference_confidence
Bexarotene,Digoxin,"A,D","Visionchanges,dryskin,fatigue","['A', 'D']","bexarotene digoxin visionchanges,dryskin,fatigue",False,
Venetoclax,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"venetoclax digoxin fatigue,,pallor,memoryissues",False,
Tamoxifen,Digoxin,D,"Bone,muscleweakness,fatigue,lowenergy",['D'],"tamoxifen digoxin bone,muscleweakness,fatigue,lowenergy",False,
Cabozantinib,Digoxin,D,"Fatigue,bone,musclepain,weakness",['D'],"cabozantinib digoxin fatigue,bone,musclepain,weakness",False,
Romidepsin,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"romidepsin digoxin fatigue,,pallor,cognitiveissues",False,
Fulvestrant,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"fulvestrant digoxin bone,muscleweakness,fatigue",False,
Erlotinib,Digoxin,"D,B12","Bone,musclepain,fatigue,weakness","['D', 'B12']","erlotinib digoxin bone,musclepain,fatigue,weakness",False,
Hydroxyprogesteronecaproate,Digoxin,D,"Fatigue,bone,muscleweakness",['D'],"hydroxyprogesteronecaproate digoxin fatigue,bone,muscleweakness",False,
Dabrafenib,Digoxin,D,"Muscleweakness,fatigue,bonediscomfort",['D'],"dabrafenib digoxin muscleweakness,fatigue,bonediscomfort",False,
Mebendazole,Digoxin,B6,"Tingling,ness,peripheral",['B6'],"mebendazole digoxin tingling,ness,peripheral",False,
Bicalutamide,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"bicalutamide digoxin bone,muscleweakness,fatigue",False,
Ixabepilone,Digoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","ixabepilone digoxin peripheral,tingling,weakness",False,
Colchicine,Digoxin,B12,",fatigue,tingling",['B12'],"colchicine digoxin ,fatigue,tingling",False,
Quinethazone,Digoxin,"Mg,K,B1","Musclecramps,weakness,fatigue",['B1'],"quinethazone digoxin musclecramps,weakness,fatigue",False,
Decitabine,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"decitabine digoxin fatigue,,pallor,cognitiveissues",False,
Carfilzomib,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"carfilzomib digoxin fatigue,,pallor,memoryissues",False,
Dexrazoxane,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"dexrazoxane digoxin fatigue,,pallor,cognitiveissues",False,
A,Digoxin,A,"Visionchanges,dryskin,fatigue",['A'],"a digoxin visionchanges,dryskin,fatigue",False,
Nedaplatin,Digoxin,"Mg,B6,B12","Musclecramps,tingling,ness,weakness","['B6', 'B12']","nedaplatin digoxin musclecramps,tingling,ness,weakness",False,
Vinflunine,Digoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","vinflunine digoxin peripheral,tingling,weakness",False,
Belinostat,Digoxin,"B9,B12","Fatigue,,pallor,memory,cognitiveissues",['B12'],"belinostat digoxin fatigue,,pallor,memory,cognitiveissues",False,
Trametinib,Digoxin,"D,B12","Bone,muscleweakness,fatigue,lowenergy","['D', 'B12']","trametinib digoxin bone,muscleweakness,fatigue,lowenergy",False,
Anastrozole,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"anastrozole digoxin bone,muscleweakness,fatigue",False,
Raltitrexed,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"raltitrexed digoxin fatigue,,pallor,memoryissues",False,
Bosutinib,Digoxin,"D,B12","Bone,musclepain,fatigue,weakness","['D', 'B12']","bosutinib digoxin bone,musclepain,fatigue,weakness",False,
Calcipotriol,Digoxin,D,"Muscle,boneweakness,fatigue",['D'],"calcipotriol digoxin muscle,boneweakness,fatigue",False,
Cobimetinib,Digoxin,"D,B12","Bone,musclepain,fatigue,weakness","['D', 'B12']","cobimetinib digoxin bone,musclepain,fatigue,weakness",False,
Tegafur,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"tegafur digoxin fatigue,,pallor,cognitiveissues",False,
Alitretinoin,Digoxin,A,"Visionchanges,dryskin,fatigue",['A'],"alitretinoin digoxin visionchanges,dryskin,fatigue",False,
Pipobroman,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"pipobroman digoxin fatigue,,pallor,memoryissues",False,
Uracilmustard,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"uracilmustard digoxin fatigue,,pallor,cognitiveissues",False,
Alectinib,Digoxin,"D,B12","Muscleweakness,fatigue,bonediscomfort","['D', 'B12']","alectinib digoxin muscleweakness,fatigue,bonediscomfort",False,
Testolactone,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"testolactone digoxin bone,muscleweakness,fatigue",False,
Eflornithine,Digoxin,B6,"Tingling,ness,peripheral",['B6'],"eflornithine digoxin tingling,ness,peripheral",False,
RadiumRa223dichloride,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"radiumra223dichloride digoxin bone,muscleweakness,fatigue",False,
Nintedanib,Digoxin,"D,B12","Muscle,boneweakness,fatigue","['D', 'B12']","nintedanib digoxin muscle,boneweakness,fatigue",False,
Methylaminolevulinate,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"methylaminolevulinate digoxin fatigue,,pallor,cognitiveissues",False,
Niraparib,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"niraparib digoxin fatigue,,pallor,cognitiveissues",False,
Vapreotide,Digoxin,"D,B12","Muscle,boneweakness,fatigue","['D', 'B12']","vapreotide digoxin muscle,boneweakness,fatigue",False,
Verteporfin,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"verteporfin digoxin fatigue,,pallor,cognitiveissues",False,
Trilostane,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"trilostane digoxin bone,muscleweakness,fatigue",False,
Sonidegib,Digoxin,D,"Bone,muscleweakness,fatigue,lowenergy",['D'],"sonidegib digoxin bone,muscleweakness,fatigue,lowenergy",False,
Cyproteroneacetate,Digoxin,D,"Fatigue,muscle,boneweakness",['D'],"cyproteroneacetate digoxin fatigue,muscle,boneweakness",False,
Omacetaxinemepesuccinate,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"omacetaxinemepesuccinate digoxin fatigue,,pallor,cognitiveissues",False,
Aminoglutethimide,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"aminoglutethimide digoxin bone,muscleweakness,fatigue",False,
Megestrolacetate,Digoxin,D,"Muscle,boneweakness,fatigue",['D'],"megestrolacetate digoxin muscle,boneweakness,fatigue",False,
Pixantrone,Digoxin,"B9,B12","Fatigue,,pallor,memoryissues",['B12'],"pixantrone digoxin fatigue,,pallor,memoryissues",False,
Trifluridine,Digoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"trifluridine digoxin fatigue,,pallor,cognitiveissues",False,
Medrogestone,Digoxin,D,"Bone,muscleweakness,fatigue",['D'],"medrogestone digoxin bone,muscleweakness,fatigue",False,
Penicillamine,Digoxin,B6,"Tingling,ness,peripheral",['B6'],"penicillamine digoxin tingling,ness,peripheral",False,
Deferasirox,Digoxin,"Iron,B12","Fatigue,pallor,weakness,",['B12'],"deferasirox digoxin fatigue,pallor,weakness,",False,
Aminolevulinicacid,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"aminolevulinicacid digitoxin fatigue,,pallor,cognitiveissues",False,
Temoporfin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"temoporfin digitoxin fatigue,,pallor,cognitiveissues",False,
Cyclophosphamide,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"cyclophosphamide digitoxin fatigue,,pallor,cognitiveissues",False,
Paclitaxel,Digitoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","paclitaxel digitoxin peripheral,tingling,weakness",False,
Docetaxel,Digitoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","docetaxel digitoxin peripheral,tingling,weakness",False,
Cabazitaxel,Digitoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","cabazitaxel digitoxin peripheral,tingling,weakness",False,
Sulpiride,Digitoxin,B12,"Fatigue,,tingling,pallor",['B12'],"sulpiride digitoxin fatigue,,tingling,pallor",False,
Rifain,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"rifain digitoxin fatigue,,pallor,cognitiveissues",False,
Phenytoin,Digitoxin,"D,B12","Bone,muscleweakness,fatigue,","['D', 'B12']","phenytoin digitoxin bone,muscleweakness,fatigue,",False,
Rifampicin,Digitoxin,"D,B12","Bone,muscleweakness,fatigue,","['D', 'B12']","rifampicin digitoxin bone,muscleweakness,fatigue,",False,
Fosphenytoin,Digitoxin,"D,B12","Bone,muscleweakness,fatigue,","['D', 'B12']","fosphenytoin digitoxin bone,muscleweakness,fatigue,",False,
Carbamazepine,Digitoxin,"D,B12","Bone,muscleweakness,fatigue,","['D', 'B12']","carbamazepine digitoxin bone,muscleweakness,fatigue,",False,
Primidone,Digitoxin,"D,B12","Bone,muscleweakness,fatigue,","['D', 'B12']","primidone digitoxin bone,muscleweakness,fatigue,",False,
Phenobarbital,Digitoxin,"D,B12","Bone,muscleweakness,fatigue,","['D', 'B12']","phenobarbital digitoxin bone,muscleweakness,fatigue,",False,
Pentobarbital,Digitoxin,"D,B12","Bone,muscleweakness,fatigue,","['D', 'B12']","pentobarbital digitoxin bone,muscleweakness,fatigue,",False,
Nevirapine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"nevirapine digitoxin fatigue,,pallor,cognitiveissues",False,
Rifapentine,Digitoxin,"D,B12","Bone,muscleweakness,fatigue,","['D', 'B12']","rifapentine digitoxin bone,muscleweakness,fatigue,",False,
Bosentan,Digitoxin,"D,B12","Muscle,boneweakness,fatigue","['D', 'B12']","bosentan digitoxin muscle,boneweakness,fatigue",False,
Lumacaftor,Digitoxin,"D,B12","Muscle,boneweakness,fatigue","['D', 'B12']","lumacaftor digitoxin muscle,boneweakness,fatigue",False,
Anagrelide,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"anagrelide digitoxin fatigue,,pallor,cognitiveissues",False,
Carboplatin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"carboplatin digitoxin fatigue,,pallor,cognitiveissues",False,
Etacrynicacid,Digitoxin,"Mg,K,B1","Musclecramps,weakness,fatigue",['B1'],"etacrynicacid digitoxin musclecramps,weakness,fatigue",False,
Pirlindole,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"pirlindole digitoxin fatigue,,pallor,cognitiveissues",False,
Procarbazine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"procarbazine digitoxin fatigue,,pallor,cognitiveissues",False,
Sunitinib,Digitoxin,"D,B12","Muscle,boneweakness,fatigue","['D', 'B12']","sunitinib digitoxin muscle,boneweakness,fatigue",False,
Lanreotide,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"lanreotide digitoxin bone,muscleweakness,fatigue",False,
Imatinib,Digitoxin,"D,B12","Bone,muscleweakness,fatigue","['D', 'B12']","imatinib digitoxin bone,muscleweakness,fatigue",False,
Crizotinib,Digitoxin,"D,B12","Bone,muscleweakness,fatigue","['D', 'B12']","crizotinib digitoxin bone,muscleweakness,fatigue",False,
Mitotane,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"mitotane digitoxin bone,muscleweakness,fatigue",False,
Dienogest,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"dienogest digitoxin bone,muscleweakness,fatigue",False,
Olaparib,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"olaparib digitoxin fatigue,,pallor,cognitiveissues",False,
Rucaparib,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"rucaparib digitoxin fatigue,,pallor,cognitiveissues",False,
Prednisolone,Digitoxin,"D,Ca","Boneloss,muscleweakness,fatigue",['D'],"prednisolone digitoxin boneloss,muscleweakness,fatigue",False,
Midostaurin,Digitoxin,"D,B12","Muscle,boneweakness,fatigue,","['D', 'B12']","midostaurin digitoxin muscle,boneweakness,fatigue,",False,
Medroxyprogesteroneacetate,Digitoxin,D,"Muscle,boneweakness,fatigue",['D'],"medroxyprogesteroneacetate digitoxin muscle,boneweakness,fatigue",False,
Bortezomib,Digitoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","bortezomib digitoxin peripheral,tingling,weakness",False,
Panobinostat,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"panobinostat digitoxin fatigue,,pallor,cognitiveissues",False,
Enzalutamide,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"enzalutamide digitoxin bone,muscleweakness,fatigue",False,
Abiraterone,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"abiraterone digitoxin bone,muscleweakness,fatigue",False,
Diethylstilbestrol,Digitoxin,D,"Muscle,boneweakness,fatigue",['D'],"diethylstilbestrol digitoxin muscle,boneweakness,fatigue",False,
Nilotinib,Digitoxin,"D,B12","Muscle,boneweakness,fatigue,","['D', 'B12']","nilotinib digitoxin muscle,boneweakness,fatigue,",False,
Dexamethasone,Digitoxin,"D,Ca","Boneloss,muscleweakness,fatigue",['D'],"dexamethasone digitoxin boneloss,muscleweakness,fatigue",False,
Letrozole,Digitoxin,"D,Ca","Boneloss,muscleweakness,fatigue",['D'],"letrozole digitoxin boneloss,muscleweakness,fatigue",False,
Miltefosine,Digitoxin,D,"Muscle,boneweakness,fatigue",['D'],"miltefosine digitoxin muscle,boneweakness,fatigue",False,
Trimetrexate,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"trimetrexate digitoxin fatigue,,pallor,cognitiveissues",False,
Sirolimus,Digitoxin,"D,B12","Muscle,boneweakness,fatigue,","['D', 'B12']","sirolimus digitoxin muscle,boneweakness,fatigue,",False,
Pentostatin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"pentostatin digitoxin fatigue,,pallor,cognitiveissues",False,
Thalidomide,Digitoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","thalidomide digitoxin peripheral,tingling,weakness",False,
Pomalidomide,Digitoxin,"B1,B6,B12","Peripheral,tingling,weakness","['B1', 'B6', 'B12']","pomalidomide digitoxin peripheral,tingling,weakness",False,
Pazopanib,Digitoxin,"D,B12","Muscle,boneweakness,fatigue,","['D', 'B12']","pazopanib digitoxin muscle,boneweakness,fatigue,",False,
Lenvatinib,Digitoxin,"D,B12","Muscle,boneweakness,fatigue,","['D', 'B12']","lenvatinib digitoxin muscle,boneweakness,fatigue,",False,
Toremifene,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"toremifene digitoxin bone,muscleweakness,fatigue",False,
Goserelin,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"goserelin digitoxin bone,muscleweakness,fatigue",False,
Vorinostat,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"vorinostat digitoxin fatigue,,pallor,cognitiveissues",False,
Octreotide,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"octreotide digitoxin bone,muscleweakness,fatigue",False,
Triptorelin,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"triptorelin digitoxin bone,muscleweakness,fatigue",False,
Degarelix,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"degarelix digitoxin bone,muscleweakness,fatigue",False,
Eribulin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"eribulin digitoxin fatigue,,pallor,cognitiveissues",False,
Epirubicin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"epirubicin digitoxin fatigue,,pallor,cognitiveissues",False,
Streptomycin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"streptomycin digitoxin fatigue,,muscleweakness",False,
Kanamycin,Digitoxin,"B1,B12",",weakness,pallor","['B1', 'B12']","kanamycin digitoxin ,weakness,pallor",False,
Idarubicin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"idarubicin digitoxin fatigue,,pallor,cognitiveissues",False,
Plicamycin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"plicamycin digitoxin fatigue,,pallor,cognitiveissues",False,
Streptozocin,Digitoxin,B12,"Fatigue,,pallor",['B12'],"streptozocin digitoxin fatigue,,pallor",False,
Tobramycin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"tobramycin digitoxin fatigue,,muscleweakness",False,
Amrubicin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"amrubicin digitoxin fatigue,,pallor,cognitiveissues",False,
Framycetin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"framycetin digitoxin fatigue,,muscleweakness",False,
Netilmicin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"netilmicin digitoxin fatigue,,muscleweakness",False,
Amikacin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"amikacin digitoxin fatigue,,muscleweakness",False,
Valrubicin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"valrubicin digitoxin fatigue,,pallor,cognitiveissues",False,
Daunorubicin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"daunorubicin digitoxin fatigue,,pallor,cognitiveissues",False,
Ribostamycin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"ribostamycin digitoxin fatigue,,muscleweakness",False,
Doxorubicin,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"doxorubicin digitoxin fatigue,,pallor,cognitiveissues",False,
Arbekacin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"arbekacin digitoxin fatigue,,muscleweakness",False,
Gentamicin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"gentamicin digitoxin fatigue,,muscleweakness",False,
Paromomycin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"paromomycin digitoxin fatigue,,muscleweakness",False,
Spectinomycin,Digitoxin,B1,"Fatigue,,muscleweakness",['B1'],"spectinomycin digitoxin fatigue,,muscleweakness",False,
Prednisone,Digitoxin,"D,Ca","Boneloss,muscleweakness,fatigue",['D'],"prednisone digitoxin boneloss,muscleweakness,fatigue",False,
Methylprednisolone,Digitoxin,"D,Ca","Boneloss,muscleweakness,fatigue",['D'],"methylprednisolone digitoxin boneloss,muscleweakness,fatigue",False,
Formestane,Digitoxin,D,"Bone,muscleweakness,fatigue",['D'],"formestane digitoxin bone,muscleweakness,fatigue",False,
Altretamine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"altretamine digitoxin fatigue,,pallor,cognitiveissues",False,
Tretinoin,Digitoxin,A,"Skindryness,visionissues",['A'],"tretinoin digitoxin skindryness,visionissues",False,
Clofarabine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"clofarabine digitoxin fatigue,,pallor,cognitiveissues",False,
Quinacrine,Digitoxin,B12,"Fatigue,,pallor",['B12'],"quinacrine digitoxin fatigue,,pallor",False,
Nelarabine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"nelarabine digitoxin fatigue,,pallor,cognitiveissues",False,
Azacitidine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"azacitidine digitoxin fatigue,,pallor,cognitiveissues",False,
Ifosfamide,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"ifosfamide digitoxin fatigue,,pallor,cognitiveissues",False,
Cytarabine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"cytarabine digitoxin fatigue,,pallor,cognitiveissues",False,
Lomustine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"lomustine digitoxin fatigue,,pallor,cognitiveissues",False,
Mechlorethamine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"mechlorethamine digitoxin fatigue,,pallor,cognitiveissues",False,
Vincristine,Digitoxin,B12,"Peripheral,tingling,weakness",['B12'],"vincristine digitoxin peripheral,tingling,weakness",False,
Temozolomide,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"temozolomide digitoxin fatigue,,pallor,cognitiveissues",False,
Busulfan,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"busulfan digitoxin fatigue,,pallor,cognitiveissues",False,
Vinorelbine,Digitoxin,B12,"Peripheral,tingling,weakness",['B12'],"vinorelbine digitoxin peripheral,tingling,weakness",False,
Tioguanine,Digitoxin,"B9,B12","Fatigue,,pallor,cognitiveissues",['B12'],"tioguanine digitoxin fatigue,,pallor,cognitiveissues",False,
Mitoxantrone,Digitoxin,"B9,B12","Fatigue,pallor,weakness",['B12'],"mitoxantrone digitoxin fatigue,pallor,weakness",False,
Oxaliplatin,Digitoxin,"B12,Mg",",tingling,musclecramps",['B12'],"oxaliplatin digitoxin ,tingling,musclecramps",False,
Fludarabine,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"fludarabine digitoxin fatigue,,pallor",False,
Etoposide,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"etoposide digitoxin fatigue,,pallor",False,
Ruxolitinib,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"ruxolitinib digitoxin fatigue,pallor,",False,
Melphalan,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"melphalan digitoxin fatigue,,pallor",False,
Teniposide,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"teniposide digitoxin fatigue,,pallor",False,
Everolimus,Digitoxin,B12,"Fatigue,",['B12'],"everolimus digitoxin fatigue,",False,
Dactinomycin,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"dactinomycin digitoxin fatigue,,pallor",False,
Mitomycin,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"mitomycin digitoxin fatigue,,pallor",False,
Carmustine,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"carmustine digitoxin fatigue,,pallor",False,
Hydroxyurea,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"hydroxyurea digitoxin fatigue,pallor,",False,
Cladribine,Digitoxin,"B9,B12","Fatigue,pallor,,cognitiveissues",['B12'],"cladribine digitoxin fatigue,pallor,,cognitiveissues",False,
Ibrutinib,Digitoxin,B12,"Fatigue,,tingling",['B12'],"ibrutinib digitoxin fatigue,,tingling",False,
Amsacrine,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"amsacrine digitoxin fatigue,pallor,",False,
Vinblastine,Digitoxin,B12,"Peripheral,tingling,weakness",['B12'],"vinblastine digitoxin peripheral,tingling,weakness",False,
Temsirolimus,Digitoxin,B12,"Fatigue,",['B12'],"temsirolimus digitoxin fatigue,",False,
Thiotepa,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"thiotepa digitoxin fatigue,pallor,",False,
Chlorambucil,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"chlorambucil digitoxin fatigue,pallor,",False,
Bleomycin,Digitoxin,"B9,B12","Fatigue,,pallor",['B12'],"bleomycin digitoxin fatigue,,pallor",False,
Estramustine,Digitoxin,B12,"Fatigue,,pallor",['B12'],"estramustine digitoxin fatigue,,pallor",False,
Vindesine,Digitoxin,B12,"Peripheral,tingling",['B12'],"vindesine digitoxin peripheral,tingling",False,
Dacarbazine,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"dacarbazine digitoxin fatigue,pallor,",False,
Trabectedin,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"trabectedin digitoxin fatigue,pallor,",False,
Topotecan,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"topotecan digitoxin fatigue,pallor,",False,
Albendazole,Digitoxin,B12,"Fatigue,,pallor",['B12'],"albendazole digitoxin fatigue,,pallor",False,
Gefitinib,Digitoxin,B12,"Fatigue,,tingling",['B12'],"gefitinib digitoxin fatigue,,tingling",False,
Lapatinib,Digitoxin,B12,"Peripheral,weakness",['B12'],"lapatinib digitoxin peripheral,weakness",False,
Regorafenib,Digitoxin,B12,"Fatigue,tingling,",['B12'],"regorafenib digitoxin fatigue,tingling,",False,
Ponatinib,Digitoxin,B12,"Peripheral,weakness",['B12'],"ponatinib digitoxin peripheral,weakness",False,
Bendamustine,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"bendamustine digitoxin fatigue,pallor,",False,
Axitinib,Digitoxin,B12,"Fatigue,tingling,",['B12'],"axitinib digitoxin fatigue,tingling,",False,
Flutamide,Digitoxin,B12,"Peripheral,fatigue",['B12'],"flutamide digitoxin peripheral,fatigue",False,
Nilutamide,Digitoxin,B12,"Fatigue,,tingling",['B12'],"nilutamide digitoxin fatigue,,tingling",False,
Vismodegib,Digitoxin,B12,"Fatigue,,pallor",['B12'],"vismodegib digitoxin fatigue,,pallor",False,
Exemestane,Digitoxin,B12,"Fatigue,tingling,",['B12'],"exemestane digitoxin fatigue,tingling,",False,
Methyltestosterone,Digitoxin,B12,"Fatigue,,pallor",['B12'],"methyltestosterone digitoxin fatigue,,pallor",False,
Bexarotene,Digitoxin,B12,"Peripheral,fatigue",['B12'],"bexarotene digitoxin peripheral,fatigue",False,
Venetoclax,Digitoxin,B12,"Fatigue,pallor,",['B12'],"venetoclax digitoxin fatigue,pallor,",False,
Tamoxifen,Digitoxin,B12,"Fatigue,,tingling",['B12'],"tamoxifen digitoxin fatigue,,tingling",False,
Cabozantinib,Digitoxin,B12,"Peripheral,fatigue",['B12'],"cabozantinib digitoxin peripheral,fatigue",False,
Romidepsin,Digitoxin,"B9,B12","Fatigue,mouthulcers,",['B12'],"romidepsin digitoxin fatigue,mouthulcers,",False,
Fulvestrant,Digitoxin,B12,"Fatigue,,tingling",['B12'],"fulvestrant digitoxin fatigue,,tingling",False,
Erlotinib,Digitoxin,B12,"Fatigue,peripheral",['B12'],"erlotinib digitoxin fatigue,peripheral",False,
Hydroxyprogesteronecaproate,Digitoxin,B12,"Fatigue,,tingling",['B12'],"hydroxyprogesteronecaproate digitoxin fatigue,,tingling",False,
Dabrafenib,Digitoxin,B12,"Peripheral,fatigue",['B12'],"dabrafenib digitoxin peripheral,fatigue",False,
Mebendazole,Digitoxin,B12,"Fatigue,,pallor",['B12'],"mebendazole digitoxin fatigue,,pallor",False,
Bicalutamide,Digitoxin,B12,"Fatigue,tingling,",['B12'],"bicalutamide digitoxin fatigue,tingling,",False,
Ixabepilone,Digitoxin,B12,"Peripheral,weakness",['B12'],"ixabepilone digitoxin peripheral,weakness",False,
Lomefloxacin,Digitoxin,B12,"Fatigue,,tingling",['B12'],"lomefloxacin digitoxin fatigue,,tingling",False,
Colchicine,Digitoxin,B12,"Fatigue,,tingling",['B12'],"colchicine digitoxin fatigue,,tingling",False,
Decitabine,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"decitabine digitoxin fatigue,pallor,",False,
Carfilzomib,Digitoxin,B12,"Fatigue,,tingling",['B12'],"carfilzomib digitoxin fatigue,,tingling",False,
Dexrazoxane,Digitoxin,"B9,B12","Fatigue,pallor,",['B12'],"dexrazoxane digitoxin fatigue,pallor,",False,
Vinflunine,Digitoxin,B12,"Peripheral,tingling",['B12'],"vinflunine digitoxin peripheral,tingling",False,
